userId,bookId,genres,rating,split
0,115,Humor|Health|Biography|Mystery,4.7,train
0,92,Humor|Fantasy,4.1,train
0,346,Biography|Science Fiction|Travel|Self-help,4.6,train
0,60,Health|Cooking|Art,4.9,train
0,251,Fitness|Art|Historical Fiction|Non-fiction|Self-help,4.6,train
0,166,Fantasy|Mystery,5.9,val
0,167,Romance|Science|Fitness|Historical Fiction|Young Adult,4.8,test
1,206,Non-fiction|Health|Cooking|Self-help|Historical Fiction,5.0,val
1,209,Biography|Thriller|Humor|Horror,3.3,test
1,301,Cooking|Thriller|Non-fiction|Business,4.1,train
1,63,Health|Cooking|Biography,3.5,train
1,191,Non-fiction|Mystery|Self-help|Horror|Thriller,3.8,train
1,170,Business|Fantasy,3.8,train
1,32,Self-help|Historical Fiction|Romance,3.2,test
1,216,Horror,3.2,train
1,178,Biography,3.5,train
1,77,Art,4.2,val
1,358,Historical Fiction,4.0,train
1,382,Young Adult|Mystery,3.7,val
1,356,Romance|Biography|Art|Self-help,3.6,train
1,185,Science|Science Fiction,3.9,train
1,198,Business|Science Fiction|Thriller|Science|Horror,3.2,train
1,236,Art|Horror|Science|Thriller,3.5,test
1,231,Biography|Health|Fantasy,4.1,train
1,166,Poetry,4.0,train
1,234,Self-help|Thriller|Historical Fiction,3.7,train
1,312,Young Adult,3.5,train
2,197,Cooking|Travel|Science Fiction|Young Adult|Poetry,4.9,train
2,224,Young Adult|Science|Health,4.8,train
2,25,Fitness|Mystery,4.8,train
2,37,Poetry|Cooking|Travel,4.8,train
2,127,Non-fiction|Science|Horror|Fantasy|Cooking,5,train
2,335,Romance|Travel|Horror|Science|Art,5,train
2,378,Self-help|Mystery|Young Adult,4.4,train
2,354,Historical Fiction,4.8,train
2,78,Self-help|Fitness|Cooking,5,train
2,355,Mystery|Fitness|Cooking|Young Adult|Health,6,val
2,238,Horror,4.8,train
2,220,Business|Fantasy|Travel,5,train
3,335,Health|Mystery|Romance|Business|Young Adult,5,train
